ven_d,model_d,tac_d
samsung,galaxy j1 2016 lte smj120p,35616507
xiaomi,redmi 1s 3g hongmi 1s 2013029,86309202
sony,xperia m4 aqua e2353,35910006
huawei,mediapad 7 lite s7931u,86736101
huawei,p9 lite vnsl62,86194003
samsung,z4 smz400y,35639808
hisense,h18,86237704
panasonic,t9,35642906
allview,a5 easy,35417107
karbonn,k18,91060440
karbonn,k18,91142305
philips,xenium x622,86989800
coolpad,5930,86621501
infocus,m370,35229507
huawei,enjoy 7 dual trtlx3,86356203
asus,zenfone 2 laser 60 ze600kl z00md,35940306
alcatel,a5 led dual 5085q,35433608
htc,desire 626s 0pm9130,35878606
lg,f60 ms395,35519706
micromax,canvas amaze 4g q491,91144235
samsung,galaxy w smt255s,35284306
archos,45c helium,35780907
lava,pixel v2,91146940
lenovo,vibe p1 dual p1mc50,86744602
huawei,b593 b593u91,86316801
asus,padfone mini t00t,35376506
xiaomi,redmi 6a m1804c3ch,86783104
xiaomi,redmi 6a m1804c3ch,86867303
intex,aqua y4,91145205
samsung,galaxy s4 zoom 4g smc105,35744805
huawei,p9 evaal002,86436103
htc,desire 820 mini d820mt1,35681206
sony,xperia a2 4g lte pm0612bv,35807106
meizu,m353,86113802
lg,x power k220br,35193308
lenovo,phab plus tdlte dual pb1770p,86889802
blu,studio g2,35309708
huawei,ascend p7 sophial12,86453902
lg,g pad f 80 lte v4951,35748706
samsung,galaxy s4 mini cdma gti9198,35202305
xiaomi,mi 4 mi 2a 2014215 2012121,86489502
posh mobile,kick pro lte l520,35873807
samsung,galaxy e5 lte sme500yz,35864406
panasonic,next p04d,35956904
sony ericsson,xperia mini st15i,35821704
motorola,defy xt xt535,35251405
philips,s653h,86076303
micromax,canvas gold a300,91133890
alcatel,132,86500701
huawei,p10 plus vkyal001,86609103
huawei,g9 vnscl00,86931602
yezz,andy 5e lte dual am5el151,35612707
vivo,x7 plus l,86146903
dexp,ixion es135 hit,35398307
samsung,galaxy smn900smp605smp905schi535smt337smw750smt217smt527smg900schi705sphl710smt537,99000446
asus,zenfone 3s max zc521tl x00gda2,35529208
blu,studio j5,35547808
huawei,b82275,86555702
huawei,honor 5x lte kiil33,86037603
zopo,zp530 touch 4g flash c,35912006
alcatel,2010a 2010x,86006302
oppo,u705t ulike 2,86201002
oppo,u705t ulike 2,86922601
panasonic,eluga note,35159908
keneksi,deltalibrateta,35911205
spice,smart flo space mi354,91133705
huawei,e3131 e3131s3,86364401
intex,aqua hd 50,91142860
xiaomi,redmi note 4g dual 2014022,86519802
samsung,galaxy tab s4 smt8351,35562009
lenovo,moto c plus dual xt17251,35564808
iball,cobalt oomph 47d,91143190
huawei,ea660123,86846101
lenovo,moto g5 plus xt1684,35186008
micromax,x615,91146025
xolo,q1200,91137215
lg,l30 dual d125f,35454206
lg,l30 dual d125f,35828106
samsung,galaxy note 4 smn910l,35467906
lava,iris x1 atom,91144145
lava,iris x1 atom,91145140
gigabyte,gsmart essence 4,35548807
huawei,b593 b593u513,86761601
lenovo,s560,86727301
xolo,b700,91125715
panasonic,eluga pulse,35724808
fly,magic iq446,86519701
allview,p6 energy mini,35735408
lenovo,moto g4 play xt1601,35413807
sony ericsson,xperia neo mt25i,35289005
nokia,8 dual ta1004,35854208
samsung,galaxy wide 2 smj727vpp,35507708
lg,v10 ltea dual h961s,35677307
motorola,moto x 2nd gen xt10971,35817807
lg,v20 dual h990ds,35216308
kazam,thunder q45,35168306
wiko,barry,35485806
nokia,61 dual ta1045,35855108
prestigio,muze x5 lte psp5518duo,35802109
huawei,honor 7i standard edition tdlte dual athcl00,86767402
micromax,x697,91147165
samsung,galaxy j3 2018 smj737r4,35480609
lava,a88,91150385
micromax,infinity a80,91122205
lenovo,s60 s60w s60a,86605902
samsung,galaxy golden gti92301,35743505
swipe,elite sense,91155405
lg,x cam k580h,35788407
prestigio,muze a3 psp3452 duo,35918406
motorola,moto e5 plus xt19249,35555409
huawei,honor 7x bndal10c,86872203
alcatel,one touch idol dual ot 6030d,86979701
sony,xperia z1 lte c6906,35809205
asus,zenfone 3 max zc553kl dual x00ddb,35211208
telit,he910eug v2,35636605
alcatel,scribe hd 8008x,86953601
samsung,galaxy grand dual gti9082 g,35545150
karbonn,titanium dazzle 2 s202,91144755
lenovo,a1000,86752802
xolo,a500,91125465
acer,liquid m330,35278607
xiaomi,mi pad 4 m1806d9pe,86822504
karbonn,platinum p9,91142660
karbonn,platinum p9,91164285
explay,a350 longcheer m970e,35744504
huawei,me906j,99000244
videocon,infinium z30 pace,91143985
xiaomi,redmi 7 m1810f6lh,86446604
xiaomi,redmi 7 m1810f6lh,86242804
